,Customer ID,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,City,Age,Married,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Satisfaction Score,Senior_Citizen_Numeric,Total_Services,Service_Value,Customer_Segment,Churn Predicted
0,7590-VHVEG,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,Los Angeles,36,Yes,0,1,0.0,10,No,Yes,0.0,0,0.0,3,0,1,0.03350083752093802,New,0
1,5575-GNVDE,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,Los Angeles,46,No,0,34,17.09,16,No,Yes,0.0,0,581.06,3,0,3,0.05267778753292361,Established,0
2,3668-QPYBK,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,Los Angeles,37,No,0,2,10.47,21,No,Yes,0.0,0,20.94,1,0,3,0.055710306406685235,New,1
3,7795-CFOCW,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,Los Angeles,53,No,0,45,0.0,10,Yes,Yes,0.0,0,0.0,3,0,3,0.07092198581560284,Loyal,0
4,9237-HQITU,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,Los Angeles,19,No,0,2,9.12,51,No,Yes,0.0,0,18.24,2,0,1,0.014144271570014143,New,1
5,9305-CDSKC,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,Los Angeles,31,No,0,8,12.15,26,No,Yes,0.0,0,97.2,3,0,5,0.050175614651279475,New,1
6,1452-KIOVK,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,Los Angeles,42,No,0,22,29.54,53,No,Yes,0.0,0,649.88,4,0,4,0.044893378226711564,Regular,0
7,6713-OKOMC,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,Los Angeles,42,No,0,10,0.0,8,No,Yes,0.0,0,0.0,3,0,1,0.03361344537815126,New,0
8,7892-POOKP,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,Los Angeles,23,Yes,0,28,4.89,47,Yes,Yes,0.0,0,136.92,3,0,6,0.05725190839694656,Established,1
9,6388-TABGU,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,Los Angeles,48,No,0,62,7.96,8,No,Yes,0.0,0,493.52,4,0,3,0.05342831700801425,VIP,0
