iter	Passed	Remaining
0	148	148380
1	151	75442
2	153	51076
3	156	38924
4	159	31705
5	161	26812
6	164	23361
7	167	20731
8	170	18760
9	172	17124
10	175	15789
11	178	14677
12	180	13724
13	183	12917
14	186	12216
15	189	11623
16	191	11078
17	194	10612
18	197	10171
19	199	9790
20	202	9435
21	205	9121
22	207	8822
23	210	8548
24	212	8295
25	215	8060
26	217	7852
27	220	7650
28	223	7469
29	225	7298
30	228	7137
31	230	6981
32	233	6836
33	235	6704
34	238	6577
35	241	6463
36	243	6346
37	246	6242
38	264	6524
39	267	6425
40	270	6327
41	273	6228
42	275	6133
43	278	6046
44	280	5958
45	283	5885
46	286	5807
47	289	5737
48	291	5663
49	295	5605
50	297	5536
51	300	5471
52	302	5408
53	305	5348
54	307	5288
55	310	5231
56	313	5188
57	316	5135
58	318	5086
59	321	5038
60	324	4998
61	327	4953
62	330	4917
63	333	4875
64	336	4837
65	339	4797
66	342	4762
67	344	4724
68	347	4693
69	350	4654
70	352	4617
71	355	4581
72	358	4546
73	360	4513
74	363	4479
75	366	4450
76	368	4418
77	371	4389
78	373	4358
79	376	4327
80	378	4297
81	381	4268
82	383	4242
83	386	4215
84	389	4190
85	391	4162
86	394	4137
87	396	4112
88	399	4087
89	401	4064
90	404	4039
91	407	4019
92	409	3998
93	412	3980
94	415	3959
95	418	3938
96	420	3918
97	423	3901
98	426	3881
99	429	3861
100	431	3843
101	434	3824
102	437	3809
103	439	3790
104	442	3775
105	445	3759
106	448	3745
107	451	3727
108	454	3714
109	457	3698
110	460	3687
111	462	3670
112	466	3659
113	468	3644
114	471	3631
115	474	3616
116	478	3612
117	481	3600
118	484	3589
119	487	3576
120	491	3569
121	494	3561
122	497	3549
123	500	3538
124	503	3525
125	507	3517
126	509	3505
127	513	3495
128	515	3483
129	519	3474
130	522	3463
131	525	3454
132	528	3442
133	531	3433
134	534	3421
135	537	3416
136	540	3405
137	543	3395
138	546	3383
139	549	3375
140	552	3364
141	555	3354
142	557	3342
143	560	3333
144	563	3322
145	566	3315
146	569	3304
147	572	3296
148	575	3286
149	578	3277
150	580	3266
151	584	3258
152	586	3247
153	589	3240
154	592	3230
155	595	3223
156	598	3212
157	601	3205
158	604	3195
159	607	3187
160	609	3177
161	613	3171
162	616	3163
163	619	3156
