order_id,product_id,customer_id,order_date,quantity,unit_price
1,19,97,11-09-2024,8,81.24
2,19,64,02-04-2024,3,56.99
3,15,8,08-04-2024,6,31.57
4,7,18,14-04-2024,6,44.95
5,16,22,23-05-2024,9,72.51
6,16,49,05-02-2023,8,86.84
7,10,35,31-12-2024,5,13.87
8,2,40,20-01-2023,6,85.85
9,8,66,09-07-2023,4,57.72
10,14,73,18-03-2024,10,52.45
11,12,28,16-12-2024,1,25.54
12,4,73,16-05-2023,5,19.85
13,20,61,01-10-2023,2,49.57
14,12,74,27-02-2023,5,44.08
15,15,30,02-09-2024,8,90.8
16,2,56,18-10-2023,8,93.29
17,1,10,24-05-2024,1,86.32
18,5,65,18-09-2023,4,75.01
19,6,15,15-07-2023,5,99.46
20,12,6,31-07-2024,8,74.37
21,9,53,13-12-2023,2,29.73
22,6,75,20-07-2023,7,14.9
23,20,20,02-05-2024,2,77.6
24,18,74,04-08-2023,4,66.22
25,7,25,12-12-2023,1,92.75
26,4,74,05-02-2024,2,80.84
27,4,82,25-04-2024,10,6.1
28,8,11,02-12-2023,7,75.92
29,13,85,23-09-2024,4,15.9
30,8,9,08-02-2024,9,83.04
31,7,54,04-03-2024,8,89.04
32,14,26,27-12-2023,2,83.03
33,16,13,19-04-2024,2,36.65
34,5,15,22-09-2023,1,36.19
35,2,54,30-08-2024,10,29.93
36,19,17,29-08-2024,8,37.72
37,20,81,15-04-2023,8,55.71
38,8,35,30-11-2024,9,74.41
39,6,74,02-07-2024,8,97.51
40,6,87,05-08-2024,8,55.59
41,1,83,12-04-2024,5,25.27
42,19,91,02-03-2023,2,25.78
43,5,41,23-03-2023,1,53.56
44,13,97,25-11-2024,7,40.36
45,18,80,21-05-2024,8,31.18
46,14,21,12-02-2024,7,37.21
47,2,21,07-04-2023,3,6.31
48,1,86,07-08-2023,3,26.81
49,4,82,23-08-2023,10,39.88
50,16,45,24-02-2023,1,95.78
51,15,53,27-02-2023,7,41.56
52,14,9,02-10-2023,3,22.31
53,11,31,03-11-2024,3,85.81
54,13,34,26-05-2024,6,9.18
55,8,79,14-09-2023,10,76.0
56,4,80,25-01-2023,4,82.1
